brandname,details,sizes,mrp,sellprice,discount,category
Cover Story,solid poly spandex regular fit womens casual trousers - black,"Size:26,32",1590.0,954,40% ,Westernwear-Women
And,solid v-neck polyester womens evening dress - black,"Size:8,10,12,14,16,18",1999.0,999,50% ,Westernwear-Women
Miss Chase,floral premium polyknit v neck womens slim fit dress - multi,"Size:Small,X-Small",0.0,2995,Nan,Westernwear-Women
Fratini,solid cotton round neck womens regular top - black,"Size:Large,Medium,XX-Large",599.0,299,50% ,Westernwear-Women
Zink London,solid cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499,40% ,Westernwear-Women
Zink London,printed round neck polyester womens dresses - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2599.0,1559,40% ,Westernwear-Women
Faballey,floral lace v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1800.0,1440,20% ,Westernwear-Women
Altlife,solid polyester blend ankle length womens tights - off white,"Size:28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Fratini,printed rayon round neck womens regular top - blue,"Size:Medium,Small",699.0,349,50% ,Westernwear-Women
Fratini,printed crepe regular fit womens top - white,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1199,Nan,Westernwear-Women
Crimsoune Club,womens blue striped jumpsuit - blue,"Size:Large,Small,X-Large,XX-Large",2499.0,1249,50% ,Westernwear-Women
Vero Moda,mid wash cotton bootcut fit womens jeans - blue,"Size:26,27,28,29,30,31,32,33,34",3799.0,2279,40% ,Westernwear-Women
Vero Moda,solid polyester v-neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,949,50% ,Westernwear-Women
Zink London,solid viscose blend tie up womens top - mustard,"Size:Large,Medium,Small,X-Large,X-Small",1599.0,959,40% ,Westernwear-Women
Stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399,50% ,Westernwear-Women
Is.U,slim fit length cotton womens casual skirt - yellow,"Size:Large,Medium,X-Large",1790.0,895,50% ,Westernwear-Women
Forever New,flared fit calf length polyester womens casual skirt - rust,"Size:6,8,10,12,14",0.0,4400,Nan,Westernwear-Women
And,printed viscose high neck womens top - white,"Size:8,10,12,14,16,18",2699.0,1349,50% ,Westernwear-Women
Life,printed cotton blend round neck womens regular t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Forever New,solid lyocell collar neck womens dress - pink,"Size:6,8,10,12,14",6000.0,3900,35% ,Westernwear-Women
And,solid polyester square neck womens straight dress - teal,"Size:8,10,14,16",3099.0,1549,50% ,Westernwear-Women
Dolce Crudo,womens spark in your life denim joggers - light blue,"Size:26,28,30,32,34",2449.0,979,60% ,Westernwear-Women
Zink London,printed polyester womens fit and flare dress - pink,"Size:Large,Medium,X-Large",3499.0,1399,60% ,Westernwear-Women
Only,printed polyester round neck womens top - purple,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,1049,30% ,Westernwear-Women
Lovegen,stripes viscose blend square neck womens bodycon top - multi,"Size:Large,X-Large",920.0,368,60% ,Westernwear-Women
Zink London,solid viscose round neck womens top - white,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,959,40% ,Westernwear-Women
Cover Story,solid square neck poly mesh womens regular dress - lavender,"Size:Large,Medium,Small,X-Large,X-Small",4490.0,2694,40% ,Westernwear-Women
Latin Quarters,printed cotton blend v neck womens blouson blouse - white,"Size:S,M,L,XX-Large",1399.0,499,64% ,Westernwear-Women
Zink London,printed polyester shirt collar womens regular fit top - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,599,60% ,Westernwear-Women
Stop,solid viscose round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Latin Quarters,solid viscose blend round neck womens regular top - ivory,"Size:S,M,L,X-Small",1699.0,499,71% ,Westernwear-Women
Stop,solid round neck polyester blend womens regular dress - navy,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949,50% ,Westernwear-Women
Life,skinny fit ankle length cotton lycra womens jeans - ice blue,"Size:26,28,30,32,34,36",1499.0,749,50% ,Westernwear-Women
Fratini,womens rayon printed tops - navy,Size:Small,799.0,399,50% ,Westernwear-Women
Iti,solid georgette v neck womens top - pink,"Size:Large,Medium,X-Small",0.0,1499,Nan,Westernwear-Women
Zink Z,printed polyester u neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",0.0,999,Nan,Westernwear-Women
Jealous 21,solid tencel collar neck womens regular shirt - charcoal,"Size:Large,Medium,Small,X-Large",0.0,1899,Nan,Westernwear-Women
Kraus,solid tencel wide fit womens casual pants - dusty pink,"Size:28,30,32,34,36",1595.0,1435,10% ,Westernwear-Women
Latin Quarters,solid off shoulder polyester womens regular dress - black,"Size:S,M,L,XL",2899.0,1449,50% ,Westernwear-Women
Only,viscose mandarin womens regular top - white,"Size:36,38,40,42",2499.0,1749,30% ,Westernwear-Women
Only,all over print loose fit cotton blend womens casual pants - white,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1199,40% ,Westernwear-Women
Only,solid polyester collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",2299.0,1609,30% ,Westernwear-Women
Faballey,solid full sleeves poly blend womens regular length jumpsuit - green,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240,20% ,Westernwear-Women
Infuse,graphic polyester round neck womens top - lilac,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,479,60% ,Westernwear-Women
Kraus,skinny fit ankle length cotton womens jeans - grey,"Size:28,38",1695.0,847,50% ,Westernwear-Women
Fratini,solid cotton round neck womens t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399,50% ,Westernwear-Women
Faballey,solid round neck cotton womens regular dress - purple,"Size:Large,Medium,Small,X-Large,X-Small",2200.0,1760,20% ,Westernwear-Women
Proline,cotton round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large",799.0,399,50% ,Westernwear-Women
Vero Moda,solid round neck cotton blend womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Zink London,printed polyester square neck womens straight top - multi,"Size:Large,Medium,Small,X-Large",1699.0,679,60% ,Westernwear-Women
Stop,solid regular fit viscose blend womens formal leggings - tan,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Van Heusen,printed modal v neck womens top - white,Size:Large,1699.0,999,41% ,Westernwear-Women
Rare,printed v-neck polyester womens fit and flare dress - green,"Size:Medium,Small",2399.0,1079,55% ,Westernwear-Women
Stop,solid polyester round neck womens regular fit dress - mint,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
And,solid polyester collar neck womens straight top - wine,"Size:8,10,12,14,16",1899.0,1519,20% ,Westernwear-Women
Kraus,solid comfort fit tencel womens casual wear trousers - dark blue,"Size:28,30,32,34,36",1695.0,1525,10% ,Westernwear-Women
Kraus,light wash cotton blend regular fit womens jeans - blue,"Size:28,30,32,34,36,38",2095.0,1466,30% ,Westernwear-Women
Faballey,solid cotton off shoulder womens dress - white,"Size:Large,Medium,Small,X-Small",1800.0,1440,20% ,Westernwear-Women
Only,solid polyester regular fit womens cap - blue,Nan,1499.0,1049,30% ,Westernwear-Women
Spykar,regular fit regular cotton lycra womens jeans - white,"Size:26,28,30,32,34",2299.0,1609,30% ,Westernwear-Women
Only,aop scoop neck cotton womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1199,40% ,Westernwear-Women
Only,washed cotton regular fit womens jeans - blue,"Size:25,26,27,28,29,30,31,32,33,34",0.0,3699,Nan,Westernwear-Women
W,printed 3/4 sleeves viscose womens full length jumpsuit - magenta,"Size:6,8,10,12,14,16,18",0.0,3999,Nan,Westernwear-Women
Dolce Crudo,womens walk with beauty denim joggers - black,"Size:26,28,32,34",2499.0,999,60% ,Westernwear-Women
Faballey,polka dots round neck georgette womens regular dresses - blue,"Size:Small,X-Small",2150.0,1075,50% ,Westernwear-Women
Madame,solid cotton blend round neck womens top - purple,"Size:Large,Medium,X-Large",1690.0,1183,30% ,Westernwear-Women
Kraus,clean look cotton relaxed fit womens jeans - light blue,"Size:28,30,32,34",1695.0,1525,10% ,Westernwear-Women
And,tapered three quarter length linen womens fusion wear shorts - wine,"Size:26,28,30,32",0.0,2099,Nan,Westernwear-Women
Vero Moda,dark wash cotton bootcut fit womens jeans - blue,"Size:26,27,28,29,30,31,32,33,34",3999.0,3199,20% ,Westernwear-Women
Fratini,printed rayon womens regular fit top - red,"Size:Large,Medium,Small",799.0,399,50% ,Westernwear-Women
Zink London,womens regular fit dyed square neck jumpsuit - white,Size:XX-Large,2899.0,699,76% ,Westernwear-Women
Cover Story,solid regular fit rayon nylon spandex womens casual wear trousers - black,"Size:26,28,30,32",0.0,1490,Nan,Westernwear-Women
Kraus,wide fit ankle length cotton womens jeans - blue,"Size:28,30,32,34",1695.0,1186,30% ,Westernwear-Women
Life,solid regular fit cotton lycra womens casual pants - indigo,"Size:26,28,30,32,34",999.0,499,50% ,Westernwear-Women
Insense,half sleeves night wear womens t-shirt - navy,"Size:Medium,Small,X-Small",499.0,249,50% ,Westernwear-Women
Marie Claire,solid pure cotton shoulder straps womens top - black,"Size:Large,Medium,Small,X-Large,X-Small",1399.0,629,55% ,Westernwear-Women
Juniper,ethnic motifs mandarin neck cambric womens tiered dresses - indigo,"Size:Large,Medium,Small,XX-Large",2499.0,1374,45% ,Westernwear-Women
Only,all over print polyester round neck womens top - grey,"Size:34,36",2499.0,1499,40% ,Westernwear-Women
Enamor,cotton womens relax bermuda - grey pink,"Size:XL,Large,Medium,Small",699.0,489,30% ,Westernwear-Women
And,floral polyester v-neck womens fit and flare top - blue mix light,"Size:8,14",2099.0,1049,50% ,Westernwear-Women
Zink London,solid round neck polyester womens maxi dress - red,"Size:Large,Medium,Small,X-Large,XX-Large",2999.0,1799,40% ,Westernwear-Women
Kraus,womens regular fit cotton blend dobby top - peach,"Size:Large,Medium,Small",1499.0,749,50% ,Westernwear-Women
Madame,graphic cotton round neck womens top - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Kraus,solid collar neck tencel womens midi dress - blue,"Size:Large,Medium,Small",1895.0,1705,10% ,Westernwear-Women
Stop,printed satin regular neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,1299,Nan,Westernwear-Women
Life,printed slim fit cotton blend womens active wear tights - black,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Vero Moda,printed viscose sleeveless womens full length jumpsuit - natural,"Size:Large,Medium,Small,X-Large,X-Small",4499.0,3149,30% ,Westernwear-Women
Pepe,flared fit regular cotton blend womens jeans - denim,"Size:26,28,30,32,34",3499.0,2099,40% ,Westernwear-Women
Life,printed polyester blend round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small",799.0,399,50% ,Westernwear-Women
Infuse,solid mid thigh cotton lycra womens casual shorts - mid stone,"Size:26,28,30,32,34",1499.0,599,60% ,Westernwear-Women
Cover Story,solid poly blend round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1490,Nan,Westernwear-Women
Life,printed cotton round neck womens active wear t-shirt - fuschia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",499.0,249,50% ,Westernwear-Women
Life,printed collar viscose womens regular dress - red,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
And,printed viscose v neck womens top - pink mix,"Size:8,10,12,14,16,18",2199.0,1099,50% ,Westernwear-Women
Vero Moda,printed shirt collar viscose womens casual shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1439,20% ,Westernwear-Women
Rare,floral crepe sweetheart neck womens regular fit top - rust,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,599,60% ,Westernwear-Women
Global Desi,womens a-line applique solid casual wear trousers - black,"Size:XL,Large,Medium,Small",1499.0,749,50% ,Westernwear-Women
Van Heusen,solid polyester blend regular fit womens trousers - grey,Size:26,1899.0,999,47% ,Westernwear-Women
Faballey,floral sweetheart neck cotton womens regular top - pink,Size:X-Small,1650.0,825,50% ,Westernwear-Women
Iti,womens solid sleeveless boat neck fit and flare maxi dress - maroon,"Size:Medium,Small",0.0,2999,Nan,Westernwear-Women
Fratini,printed viscose collar neck womens regular top - light blue,"Size:Large,Medium,Small,X-Large",1299.0,649,50% ,Westernwear-Women
Faballey,embroidered high neck cotton womens mini dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",2900.0,2320,20% ,Westernwear-Women
Forever New,solid viscose round neck womens top - pink,"Size:Medium,Small,X-Small,XX-Small",0.0,1800,Nan,Westernwear-Women
Only,printed polyester round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,779,40% ,Westernwear-Women
Iti,womens green high low dress - green,"Size:Large,Medium,Small",0.0,2299,Nan,Westernwear-Women
Madame,solid polyester scoop neck womens dress - black,Size:Medium,3899.0,2729,30% ,Westernwear-Women
Dolce Crudo,womens blend it in denim jacket - white,"Size:Large,Medium,Small,X-Large,X-Small",3599.0,1259,65% ,Westernwear-Women
Cover Story,solid round neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",3990.0,2394,40% ,Westernwear-Women
Vero Moda,printed viscose v-neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small",2599.0,1559,40% ,Westernwear-Women
Allen Solly,solid cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,1039,20% ,Westernwear-Women
Dolce Crudo,womens regular fit artist zip crop skinny jeans blue - blue,"Size:26,28,30,32,34",2349.0,939,60% ,Westernwear-Women
Levis,stripes cotton womens casual shirt - white,"Size:Large,Medium,Small,X-Small",0.0,1599,Nan,Westernwear-Women
Madame,solid cotton round neck womens regular top - white,"Size:Large,Medium,Small,X-Large",1199.0,719,40% ,Westernwear-Women
Kraus,solid cotton round neck womens tops - white,"Size:Large,Medium,Small,X-Small",1299.0,909,30% ,Westernwear-Women
Zink Z,solid cotton blend round neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1499,Nan,Westernwear-Women
Fratini,solid collar neck viscose womens regular dress - pink,"Size:Large,Medium,Small",1699.0,849,50% ,Westernwear-Women
Only,solid cotton womens dress - blue,"Size:34,36,38,40,42",3499.0,2099,40% ,Westernwear-Women
Crimsoune Club,solid cotton linen blend womens jumpsuits - natural,"Size:Large,Medium,Small,X-Large",1999.0,1199,40% ,Westernwear-Women
Altlife,solid cotton regular neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",599.0,299,50% ,Westernwear-Women
Faballey,polka dots halter neck georgette womens maxi dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240,20% ,Westernwear-Women
Ira Soleil,printed chiffon regular fit womens party wear shrug - white,"Size:Large,Medium,Small,X-Large",0.0,1999,Nan,Westernwear-Women
Rare,striped square neck polyester womens a-line dress - black,"Size:Medium,Small",2199.0,879,60% ,Westernwear-Women
Latin Quarters,printed v neck cotton womens dress - black,"Size:S,M,L",2399.0,799,67% ,Westernwear-Women
Only,mid wash cotton regular fit womens jeans - blue,"Size:25,26,27,28,29,30,31,32,33,34",3699.0,2959,20% ,Westernwear-Women
Indya,floral sleeveless cotton womens ankle length jumpsuit - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2450.0,1225,50% ,Westernwear-Women
And,solid collar neck viscose womens straight top - blue,"Size:8,10,12,14,16,18",1399.0,1119,20% ,Westernwear-Women
Vero Moda,textured cotton round neck womens  tops - green,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1399,30% ,Westernwear-Women
Puma,cotton mid rise regular fit womens athleisure pants - pink,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,2449,30% ,Westernwear-Women
Vero Moda,printed v-neck viscose womens dress - navy,"Size:Medium,Small,X-Small",3299.0,1649,50% ,Westernwear-Women
Life,stripes cotton round neck womens regular fit t-shirt - red,"Size:Large,Medium,Small,X-Small",499.0,249,50% ,Westernwear-Women
Vero Moda,solid sleeveless viscose womens jumpsuits - white,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,2449,30% ,Westernwear-Women
Zink London,printed polyester round neck womens straight top - off white,"Size:Large,Medium,Small,X-Small,XX-Large",1499.0,899,40% ,Westernwear-Women
Faballey,solid georgette square neck womens top - purple,"Size:Large,Medium,Small,X-Large,X-Small",1300.0,1040,20% ,Westernwear-Women
Faballey,textured halter neck georgette womens mini dress - black,"Size:Large,Medium,Small",1900.0,1520,20% ,Westernwear-Women
Fratini,printed viscose v-neck womens regular top - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1199,Nan,Westernwear-Women
Altlife,printed cotton round neck womens active wear t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399.0,199,50% ,Westernwear-Women
Vero Moda,printed cotton collar neck womens dress - white,"Size:Large,Medium,Small,X-Large,X-Small",3299.0,2639,20% ,Westernwear-Women
Vero Moda,solid cotton v neck womens top - white,"Size:Large,Medium,X-Large,X-Small",0.0,2599,Nan,Westernwear-Women
Life,printed cotton round neck womens regular fit top - pink,"Size:Large,Medium,Small,X-Small",799.0,399,50% ,Westernwear-Women
Zink London,regular rayon womens casual wear shorts - navy,"Size:Large,Medium,Small,X-Large",1599.0,959,40% ,Westernwear-Women
Life,solid collar neck viscose womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Vero Moda,solid cotton blend round neck womens t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,779,40% ,Westernwear-Women
Zink London,printed polyester v neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small",1599.0,959,40% ,Westernwear-Women
Life,printed cotton round neck womens regular fit top - pink,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Only,printed cotton round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1399,30% ,Westernwear-Women
Zink London,regular fit knee length viscose blend womens casual skirt - pink,"Size:Large,Medium,Small,X-Large",1999.0,1199,40% ,Westernwear-Women
Zink London,self design sleeveless polyester womens full length jumpsuit - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3199.0,1279,60% ,Westernwear-Women
Faballey,embellished georgette halter neck womens dress - blue,"Size:Large,Medium,Small,X-Large,X-Small",2950.0,2360,20% ,Westernwear-Women
Infuse,solid cotton round neck womens regular t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",499.0,299,40% ,Westernwear-Women
Rare,solid nylon choker neck womens regular top - purple,"Size:Large,Medium,Small,X-Large",1199.0,539,55% ,Westernwear-Women
Kraus,solid collared neck cotton womens casual shirt - mid blue,Size:Small,1299.0,649,50% ,Westernwear-Women
Life,solid regular neck acrylic womens pullover - wine,"Size:Small,X-Large,XX-Large",1699.0,849,50% ,Westernwear-Women
Global Desi,womens abstract v-neck flared dress - black,"Size:XL,Large,Small",2199.0,879,60% ,Westernwear-Women
Iti,womens brown pleated maxi - brown,"Size:Medium,X-Large,X-Small",0.0,3499,Nan,Westernwear-Women
Faballey,solid poly blend high neck womens dress - red,"Size:4X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",2100.0,1680,20% ,Westernwear-Women
Infuse,graphic cotton round neck womens regular fit t-shirt - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,239,70% ,Westernwear-Women
Stop,solid regular neck tencel womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,799,Nan,Westernwear-Women
Vero Moda,textured nylon round neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small",0.0,2299,Nan,Westernwear-Women
Only,polyester regular womens blouse top - pink,"Size:34,36,38,40,42",2499.0,1499,40% ,Westernwear-Women
Life,printed cotton round neck womens regular t-shirt - lime green,"Size:Large,Small,X-Small,XX-Large",499.0,249,50% ,Westernwear-Women
Latin Quarters,solid round neck polyester womens a-line dress - blue,Size:S,1999.0,799,60% ,Westernwear-Women
Only,solid regular fit cotton womens casual wear pants - green,"Size:34,36,38,40,42",2999.0,1799,40% ,Westernwear-Women
Zink London,printed round neck polyester womens shift dress - blue,"Size:Medium,Small,X-Large",2899.0,1159,60% ,Westernwear-Women
Spykar,regular fit regular cotton lycra womens jeans - carbon,"Size:26,28,30,32,34,36",1899.0,1329,30% ,Westernwear-Women
Fratini,printed cotton blend v neck womens top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1299,Nan,Westernwear-Women
Altlife,printed cotton round neck womens active wear t-shirt - ecru,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399.0,199,50% ,Westernwear-Women
Allen Solly,checks polyester regular fit womens trousers - teal,"Size:26,28,30,32,34,36",2299.0,1379,40% ,Westernwear-Women
Dolce Crudo,womens regular fit azure highrise bony jeans blue - blue,"Size:26,28,32,34",2349.0,939,60% ,Westernwear-Women
Fratini,solid round neck polyester womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849,50% ,Westernwear-Women
And,floral polyester square neck womens straight dress - multi,"Size:8,10,14",2499.0,1249,50% ,Westernwear-Women
Fila,cotton regular fit womens track pants - black,"Size:Large,Medium,Small",0.0,2099,Nan,Westernwear-Women
Sera,printed round neck cotton womens fit and flare dress - yellow,"Size:Medium,Small,X-Large",1894.0,947,50% ,Westernwear-Women
Reebok,solid regular fit polyester womens sports tights - navy,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,999,50% ,Westernwear-Women
Zink London,regular fit mini length cotton womens casual skirt - multi,"Size:Large,Medium,Small,X-Small",1799.0,499,72% ,Westernwear-Women
Vero Moda,printed round neck cotton blend womens t-shirt - blue,"Size:Large,Medium,Small,X-Large",1299.0,649,50% ,Westernwear-Women
Kraus,solid nylon collar neck womens crop top - peach,"Size:Large,Medium,Small,X-Small",1199.0,839,30% ,Westernwear-Women
Life,solid cotton lycra womens athleisure tracks - navy,"Size:28,30,32,34,36",799.0,399,50% ,Westernwear-Women
Cover Story,solid viscose polyester nylon collar neck womens sweater - mint,Size:Medium,2890.0,2023,30% ,Westernwear-Women
Latin Quarters,printed cotton v neck womens regular dress - white,Size:S,2499.0,1249,50% ,Westernwear-Women
Kraus,solid tencel collar neck womens casual wear shirt - light olive,"Size:Medium,Small",1299.0,1169,10% ,Westernwear-Women
Rare,printed round neck polyester womens a-line dress - blue,"Size:Medium,Small",1999.0,899,55% ,Westernwear-Women
Faballey,solid v neck polyester blend womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1950.0,975,50% ,Westernwear-Women
Pepe,cotton blend skinny fit womens jeans - tint,"Size:26,28,30,32,34",2799.0,1679,40% ,Westernwear-Women
Faballey,solid polyester blend regular fit womens leg pants - green,"Size:Large,Medium,Small,X-Large,X-Small",1950.0,1560,20% ,Westernwear-Women
Allen Solly,prints polyester round neck womens regular top - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,899,40% ,Westernwear-Women
Madame,solid cotton blend round neck womens top - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1099,Nan,Westernwear-Women
Only,aop polyester v neck womens dress - white,"Size:34,36,38,40",3699.0,2589,30% ,Westernwear-Women
And,solid square neck cotton womens midi dress - pink,"Size:8,10,12,14,16",0.0,3499,Nan,Westernwear-Women
Adidas,printed polyester crew neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,1049,30% ,Westernwear-Women
Only,solid-jersey cotton high neck womens sweater - pink,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,999,50% ,Westernwear-Women
Indya,regular fit ankle length silk womens festive wear skirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",2950.0,2360,20% ,Westernwear-Women
Vero Moda,solid lyocell v neck womens  shirts - green,"Size:Large,Medium,Small,X-Large,X-Small",2699.0,2159,20% ,Westernwear-Women
Gipsy,solid collar neck regular fit womens casual shirt - pink,"Size:Large,Small,X-Small",1395.0,976,30% ,Westernwear-Women
Vero Moda,skinny full length cotton womens jeans - black,"Size:26,27,28,29,30,31,32,33,34",3799.0,2279,40% ,Westernwear-Women
Zink London,printed polyester womens regular top - pink,"Size:Large,Medium,Small",1399.0,559,60% ,Westernwear-Women
Stop,solid regular fit viscose blend womens formal leggings - teal,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Zink London,printed v-neck polyester womens fit and flare dress - multi,"Size:Large,Medium,Small,X-Large",2999.0,1199,60% ,Westernwear-Women
Dolce Crudo,womens regular fit if you ever want denim jeans black - black,"Size:26,28,30,32,34",2349.0,939,60% ,Westernwear-Women
Rare,solid regular fit polyester womens casual wear trousers - mustard,"Size:Large,Medium,Small,X-Large",1990.0,895,55% ,Westernwear-Women
Rare,printed polyester round neck womens regular fit top - navy,"Size:Large,Medium,Small",1599.0,559,65% ,Westernwear-Women
And,solid tapered polyester womens work wear trousers - blue,"Size:26,28,30,32,34,36",0.0,2099,Nan,Westernwear-Women
Vero Moda,solid cotton off shoulder womens  tops - pink,"Size:Large,Medium,Small,X-Small",1899.0,1329,30% ,Westernwear-Women
Only,embroidered cotton round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,999,50% ,Westernwear-Women
Zink Z,solid cotton v neck womens dress - green,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1899,Nan,Westernwear-Women
Lovegen,wide fit knee length cotton womens casual skirt - black,Size:X-Small,1899.0,569,70% ,Westernwear-Women
Van Heusen,solid polyester round neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1499,25% ,Westernwear-Women
Vero Moda,printed round neck polyester womens maxi dress - black,"Size:Large,Medium,Small,X-Large,X-Small",4499.0,3599,20% ,Westernwear-Women
Levis,relaxed fit regular length cotton womens jeans - orange,"Size:Large,Medium,Small,X-Large,X-Small",0.0,2899,Nan,Westernwear-Women
Sera,floral sweetheart neck cotton womens regular dress - pink,"Size:Large,X-Large",1998.0,999,50% ,Westernwear-Women
Iti,womens pleated shirt maxi - yellow,"Size:Small,X-Small",0.0,3499,Nan,Westernwear-Women
Fratini,sanya malhotra printed viscose round neck womens top - multi,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1499,Nan,Westernwear-Women
Cover Story,solid cotton round neck womens sweater - black,"Size:Large,Small,X-Large",1990.0,995,50% ,Westernwear-Women
Forever New,embellished polyester cowl neck womens top - rose gold,"Size:6,8,10,12",0.0,4200,Nan,Westernwear-Women
Only,regular fit ankle length cotton womens jeans - blue,"Size:25,27,28,29,30,31,32",3999.0,3199,20% ,Westernwear-Women
Van Heusen,printed modal v neck womens top - white,"Size:Medium,Small,X-Large,X-Small",1699.0,999,41% ,Westernwear-Women
Life,solid cotton lycra womens athleisure tracks - black,"Size:28,30,32,34,36",799.0,399,50% ,Westernwear-Women
And,solid viscose round neck womens straight top - wine,"Size:8,10,12,14,16,18",2499.0,1249,50% ,Westernwear-Women
And,solid polyester v neck womens flared dress - pink,"Size:8,10,12,14,16,18",3299.0,2639,20% ,Westernwear-Women
Fratini,solid round neck polyester womens woven top - dusty pink,"Size:Medium,Small",999.0,499,50% ,Westernwear-Women
Forever New,printed viscose round neck womens dress - print,"Size:6,8,10,12,14",7400.0,4440,40% ,Westernwear-Women
And,floral full sleeves polyester womens regular jacket - black,"Size:8,10,12,14,16,18",4199.0,2099,50% ,Westernwear-Women
Zink London,solid polyester square neck womens dress - pink,"Size:Large,Medium,Small,X-Large",2299.0,1379,40% ,Westernwear-Women
